команда,перевод
--process-per-site,"Включите модель процесса «процесс на сайт» для всех областей. Этот режим консолидирует страницы с тем же участком, так что они разделяют один процесс. Более подробная информация здесь: - https://www.chromium.org/developers/design-documents/process-models - Комментарий класса в site_instance.h, в перечислении поддерживаемых моделей процессов. ВАЖНО: это не следует путать с-сайтом-процессом (который связан с изоляцией, а не консолидацией). Вы, вероятно, хотите другой."
--process-per-tab,"Запускает каждый набор вкладок, связанных с скриптом (т. Е. Прозрачный процесс рендеринга). Мы по умолчанию используют процесс рендеринга для каждого экземпляра сайта (то есть группа страниц из одного и того же зарегистрированного домена с подключениями к сценариям друг к другу). Тодо (CREIS): Этот флаг в настоящее время не является OP. Мы должны рефакторировать его, чтобы избежать «ненужных» свопов процесса на перекрестные навигации, но все же меняются, когда это необходимо, на безопасность (например, изолированное происхождение)."
--product-version,Выводит информацию о версии продукта и бросьте. Используется в качестве внутреннего API для обнаружения установленной версии Chrome на Linux.
--production,без описания
--profile-base-name[28],"Передайте базовое имя каталога профиля, чтобы указать, какой профиль получает информацию. Соответствует только при использовании с переключателем-list-apps."
--profile-directory,"Выбирает каталог профиля, чтобы связать с первым запущенным браузером."
--profile-email,"Как kprofileDirectory, но выбирает профиль по адресу электронной почты. Если электронное письмо не найдено в каком -либо существующем профиле, этот переключатель не имеет эффекта. Если указаны и kprofiledirectory, и kprofileusername, Kprofiledirectory имеет приоритет."
--profile-management-attributes[28],"Домены и связанные с ними атрибуты SAML, для которых следует включить управление профилями сторонних профилей. Ввод должен быть в формате JSON."
--profile-requires-policy,"Если установить для «true», профиль требует политики во время перезапуска (загрузка политики должна быть успешной, в противном случае перезапуск сеанса должен пройти неудачу)."
--profiling-at-start,"Запускает профилировщик на основе отбора проб для процесса браузера при запуске. Это будет работать только в том случае, если Chrome был построен с GN arg arg enable_profiling = true. Вывод будет перейти к значению KProfilingFile."
--profiling-file,"Указывает место для профилирования вывода. Это будет работать только в том случае, если Chrome был построен с профилированием переменной GYP = 1 или GN arg arg enable_profiling = true. {PID}, если присутствует, будет заменена PID процесса. {count}, если присутствует, будет увеличиваться каждый раз, когда для этого процесса генерируется профиль. По умолчанию Chrome-Profile- {PID} для браузера и тестирования-профиль- {pid} для тестов."
--profiling-flush,"Управляют, периодически прочитанные данные профиля в файл. Обычно данные записываются на выходе, но существуют случаи, когда хром не выходит чисто (особенно при использовании одного процесса). Время в секунды может быть указано."
--protected-audiences-consented-debug-token,"Причины защищенные аудитории и аукцион API для предоставления предоставленного ключа отладки на доверенный аукционный сервер. Это говорит о сервере, что нормально регистрировать информацию об аукционе этого пользователя, чтобы помочь в отладке."
--proxy-auto-detect,Силы прокси-выявление.
--proxy-bypass-list,"Определяет список хостов, для которых мы обходим настройки прокси и используем прямые подключения. Игнорируется, если не указан-прокси-сервер. Это разделенный запятой список правил обхода. См. «Net/proxy_resolution/proxy_bypass_rules.h» для формата этих правил."
--proxy-pac-url,Использует скрипт PAC на данном URL
--proxy-server,"Использует указанный прокси -сервер, переопределяет настройки системы. Этот переключатель только влияет на запросы HTTP и HTTPS."
--proxy_resolver_win[1],без описания
--pseudo,без описания
--public-accounts-saml-acl-url,"URL-адрес потребителя SAML Assertion, используемый для обнаружения, когда поток SAML без GAIA заканчивается (например, для SAML Managed Guest Sessions) TODO (984021): Удалите при отправке URL-адресу DMServer."
--pull-to-refresh,"Включает или отключает жест на вытягивании в ответ на вертикальный перегод. Установите значение «0», чтобы отключить эту функцию, установить на «1», чтобы включить его как для сенсорной панели, так и для сенсорного экрана, и установите на «2», чтобы включить его только для сенсорного экрана. По умолчанию инвалида."
--purge-model-and-features-store,"Чистки хранилища, содержащие медэли прогнозирования и функции модели хоста для запуска, так что он гарантированно будет использовать свежие данные."
--purge-optimization-guide-store,"Чистки хранилища, содержащий избираемые и компонентные намеки на запуск, так что он гарантированно использует свежие данные."
--pwa-launcher-version[1],"Указывает версию запуска Progressive-Web-App, которая запустила Chrome, используется для определения того, обновлять ли все пусковые установки. ПРИМЕЧАНИЕ. Изменение этого переключателя требует добавления устаревшей обработки для предыдущего метода, поскольку более старые пусковые установки PWA по -прежнему используют этот переключатель, чтобы полагаться на Chrome, чтобы обновить их для использования нового метода."
--qs-add-fake-bluetooth-devices,Добавляет фальшивые устройства Bluetooth в меню быстрых настроек для тестирования пользовательского интерфейса.
--qs-add-fake-cast-devices,Добавляет фальшивые литые устройства в меню быстрых настроек для тестирования пользовательского интерфейса.
--qs-show-locale-tile,"Выражает быстрые настройки «Локаль», чтобы показать. Обычно это показывает только в демонстрационном режиме, который не работает в эмуляторе."
--query-tiles-country-code,без описания
--query-tiles-enable-trending,без описания
--query-tiles-instant-background-task,без описания
--query-tiles-rank-tiles,без описания
--query-tiles-single-tier,без описания
--quota-change-event-interval,"Определяет минимальное количество времени, в считанные секунды, которое должно пройти, прежде чем могут быть запущены события изменения квоты. Установите значение на «0», чтобы отключить механизм Debounce."
--raise-timer-frequency[1],"Поднимите частоту прерывания таймера во всех хромированных процессах, для экспериментальных целей. Эта функция необходима, потому что с Windows 10 2004 эффекты планирования изменения частоты прерывания таймера не являются глобальными, и это позволяет нам доказать/опровергнуть, имеет ли это значение. Смотрите https://crbug.com/1128917"
--rdp_desktop_session,без описания
--reached-code-sampling-interval-us[10],Определяет интервал профилирования в микросекундах для профилировщика Coped Code.
--reader-mode-feedback,без описания
--reader-mode-heuristics,без описания
--realtime-reporting-url,Определяет URL-адрес для загрузки отчетов в режиме реального времени.
--redirect-libassistant-logging,без описания
--reduce-accept-language,"Уменьшите заголовок HTTP-ассистента, и отправьте только один язык в заголовке запроса: https://github.com/tanych/accept-language."
--reduce-user-agent-minor-version,Уменьшите незначительный номер версии в строке пользователя-агента. Этот флаг реализует фазу 4 восстановления пользователя-агента: https://blog.chromium.org/2021/09/user-agent-reduction-origin-trial-and-dates.html.
--reduce-user-agent-platform-oscpu,Уменьшите платформу и OSCPU в настольной строке пользовательского агента. Этот флаг реализует фазу 5 восстановления пользователя-агента: https://blog.chromium.org/2021/09/user-agent-reduction-origin-rial-and-dates.html.
--register-max-dark-suspend-delay,"Делает Chrome регистрировать максимальную задержку темного приостановки, возможную на Chrome OS, то есть дайте устройству максимальное количество времени для выполнения своей работы в темном резюме, как это разрешено менеджером Power."
--register-pepper-plugins,Зарегистрируйте плагины перца (см. Pepper_plugin_list.cc для его формата).
--regulatory-label-dir,"Название каталога для модели, который содержит подкаталогов для каждого региона с файлами нормативных метков для этой модели. Каталоги для модели (если они есть) расположены в разделе «/usr/share/chromeos-assets/regulatory_labels/»."
--relauncher,без описания
--remote-allow-origins,Включает подключения веб -сокетов только из указанного происхождения. '*' позволяет любое происхождение.
--remote-debug-mode,без описания
--remote-debugging-address,"Используйте заданный адрес вместо петли по умолчанию для принятия удаленной отладки соединений. Следует использовать вместе с--упрощать-порт. Обратите внимание, что протокол удаленной отладки не выполняет какую -либо аутентификацию, поэтому разоблачение его слишком широко может быть риском безопасности."
--remote-debugging-io-pipes[1],"Определяет имена труб для входящих и исходящих сообщений на платформе Windows. Это разделенная запятая список двух трубных ручек, сериализованных как не знаковые целые числа, например, ""-Ремоте-дебуггинг-IO-Pipes = 3,4""."
--remote-debugging-pipe,"Включает удаленную отладку над трубами stdio [in = 3, out = 4] или над удаленными трубами, указанными в переключателе «удаленное дебаггинг-IO-Pipes». Необязательно, указывает формат для сообщений протокола, может быть либо «json» (The Default), либо «Cbor»."
--remote-debugging-port,Включает удаленную отладку над HTTP на указанном порту.
--remote-debugging-socket-name[10],Включает удаленную отладку над HTTP на указанном названии сокета.
--remote-debugging-targets,"Попроводится список адресов, чтобы обнаружить цели по удаленной отладке Devtools. Формат <host>: <port>, ..., <shost>: порт."
--remote-reboot-command-timeout-in-seconds-for-testing,Задержка тестирования для команды перезагрузки. Полезно для вкусовых тестов.
--renderer,без описания
--renderer-client-id,без описания
--renderer-cmd-prefix,Содержание этого флага приготовлена ​​к командной строке рендеринга. Полезными значениями могут быть «valgrind» или «XERM -E GDB -Args».
--renderer-process-limit,Переопределяет ограничение по умолчанию/рассчитанное на количество процессов рендеринга. Очень высокие значения для этого настройки могут привести к высокому использованию памяти/ресурса или нестабильности.
--renderer-sampling,без описания
--renderer-startup-dialog,"Приводит к тому, что процесс рендеринга отображает диалог при запуске. Передача этого флага также добавляет Sandbox :: Policy :: Knosandbox в Windows неофициальные сборки, так как это необходимо для показа диалога."
--renderer-wait-for-java-debugger[10],"Блок ChildProcessMain Нить рендеринга ChildProcessService до тех пор, пока не будет привязан отладчик Java."
--renderpass,Параметры для kuishowcompositedlayerborders.
--report-vp9-as-an-unsupported-mime-type,Сила сообщать о VP9 как о неподдерживаемом типе MIME.
--request-desktop-sites[10],Включить переопределение пользовательского агента для запроса настольных сайтов в Clank.
--require-audio-hardware-for-testing,"При запуске тестов в системе без необходимого аппаратного обеспечения или библиотек, этот флаг приведет к выходу из строя тестов. В противном случае они молча добиваются успеха."
--require-wlan,Подключитесь только к интерфейсам WLAN.
--reset-browsing-instance-between-tests,"Заставляет каждый веб -тест работать в новом просмотре. Требуется для веб -тестов Изоляции происхождения, где просмотр просмотра сохраняет состояние из запросов на изоляцию происхождения, но этот флаг может принести пользу другим веб -тестам."
--reset-variation-state,"Заставляет сброс одноразовых полевых полетов на этом клиенте, также известном как состояние вариаций хрома."
--restart,"Указывает, что хром был перезапущен (например, после изменения флага). Это используется для игнорирования запуска при записи метрики запуска.mode2."
--restore-last-session,"Указывает, что последняя сессия должна быть восстановлена ​​при запуске. Это переопределяет значение предпочтений. Обратите внимание, что это не заставляет автоматическое восстановление сеанса после сбоя, чтобы предотвратить крушение. Этот переключатель используется для реализации поддержки функциональности «Продолжение OS, где вы остановились» на OS X и Windows."
--restrict-gamepad-access,Включает функциональную политику и обеспечить требования к контексту на GetGamePads.
--reven-branding,"Указывает, что reven ui струны и функции должны быть показаны."
--rlz-ping-delay,"Задержка RLZ Ping (в секундах), которая перезаписывает значение по умолчанию."
--rma-not-allowed,Начните Chrome без открытия RMA или проверки текущего состояния RMA.
--rtl,без описания
--run-all-compositor-stages-before-draw,"Эффективно отключает трубопроводы на стадиях производства кадров композитора, ожидая, пока каждый этап завершит перед завершением рамы."
--run-manual,"Ручные тесты работают только тогда, когда указано-управляемое управление. Это позволяет писать тесты, которые не работают автоматически, но все еще находятся в одном бинарном тестировании. Это полезно, чтобы команда, которая хочет провести несколько тестов, не должна добавлять новый бинар, который должен быть составлен на всех сборках."
--run-web-tests,"Запускает оболочку содержимого в режиме веб-тестирования, вводив тестовое поведение только для Blink Web Tests."
--safe-mode,"Переключатель, добавленный Deamon Session_Manager Daemon, когда Chrome вылетает 3 раза или более в течение первых 60 секунд при запуске. См. BrowserJob :: ExportArgv в платформе2/login_manager/browser_job.cc."
--safebrowsing-enable-enhanced-protection,Включить безопасное просмотр повышенной защиты.
--safebrowsing-manual-download-blacklist,"Список, разделенные запятыми, HASH SHA256 Хэши исполняемых файлов, которые Служба Загрузки должна рассматривать как «опасную». Чтобы файл, чтобы показать предупреждение, он также должен считаться опасным филетипом и не разрешать в противном случае (под подписью или URL) и должен находиться на поддерживаемой ОС. Хэши в гексе. Это используется для ручного тестирования при поиске способов защиты загрузки."
--saml-password-change-url,"Изменение пароля URL для пользователей SAML. Todo (941489): удалить, когда ошибка исправлена."
--sandbox-ipc,"Приводит к тому, что процесс работает как подпроцесс IPC Sandbox."
--save-page-as-mhtml,"Отключите сохраненные страницы как HTML, отключите страницы сохранения как HTML, с помощью каталога подзадач). Включить только сохранение страниц как MHTML. Смотрите http://crbug.com/120416, как удалить этот переключатель."
--scheduled-reboot-grace-period-in-seconds-for-testing,Тестирование льготного периода для политики Devicesscheduledreboot. Полезно для вкусовых тестов. См. `Shopskiprebootduetograceperiod` в preduled_task_util.h.
--scheduler-boost-urgent[3],"Переопределить значение повышения планирования по умолчанию для срочных задач. Это может быть скорректировано, если конкретное устройство Chromeos показывает лучшее соотношение перф/мощности (например, с помощью тестов на видеоконференции). В настоящее время эти значения направляются на использование MIN -зажима Linux Scheduler. Диапазон составляет 0 (без смещенной нагрузки) ~ 100 (значение нагрузки Mamximum)."
--scheduler-configuration[6],"Выбирает конфигурацию планировщика, указанную в параметре."
--scheduler-configuration-default[6],"Определяет, каково значение конфигурации планировщика по умолчанию, если пользователь не устанавливает его."
--screen-capture-audio-default-unchecked,Этот флаг устанавливает флажки для обмена аудио во время снимка экрана по умолчанию. Он в основном предназначен для использования для тестов.
--screen-config,"Определяет начальную конфигурацию экрана или состояние всех дисплеев, для FakeDisplayDelegate см. Класс для деталей формата."
--screenshot,Сохраните скриншот загруженной страницы.
--screen_ai[31],без описания
--search-engine-choice-country,"Переопределите страну, используемую для проверки региона выбора поисковой системы. Предназначен для тестирования. Ожидается 2-буквенные коды страны."
--search-provider-logo-url,Используйте статический URL для логотипа поисковой системы по умолчанию. Пример: https://www.google.com/branding/logo.png
--secondary-display-layout,"Определяет режим макета и смещения для вторичного дисплея для тестирования. Формат - «<t | r | b | l>, <офсет>», где t = top, r = справа, b = внизу и L = слева. Например, «r, -100» означает, что вторичный дисплей расположен справа с смещением -100. (Выше, чем первичный)"
--secure-connect-api-url,"Определяет базовый URL, чтобы связаться с API Secure Connect."
--service,без описания
--service-name,"Указывает название службы для запуска. Полезно для отладки, или если исполняемый файл услуг создан для поддержки запуска как ряд потенциальных различных услуг."
--service-request-attachment-name,"Название | mojo :: wendingReceiver <sersion_manager :: mojom :: service> | Ручка трубы сообщения, прикрепленная к входящему приглашению Mojo, полученному Сервисом."
--service-sandbox-type,"Тип песочницей для применения к процессу, работающему службой, одно из значений в следующем блоке."
--service_with_jit,без описания
--set-extension-throttle-test-params,Установите параметры для extensionUrlloaderthrottlebrowsertest.
--setup[1],без описания
--shader-cache-path,без описания
--shared-array-buffer-allowed-origins,"Список происхождения, разделяемый запятыми, которые могут использовать ShareDarrayBuffer, не позволяя изоляции кроссоригина."
--shared-array-buffer-unrestricted-access-allowed[11],"Включает общий буфер массива на рабочем столе, закрытый корпоративной политикой. Todo (crbug.com/1144104) Удалить при завершении миграции в COOP+COEP."
--shared-files,"Описывает дескрипторы файлов, передаваемые дочернему процессу в следующем формате списка: <file_id>: <descriptor_id>, <file_id>: <descriptor_id>, ... где <file_id> является идентификационной строкой из манифеста запуска службы, которая запускается и <Scriptor_id> является числовым идентификатором дескриптора для дочернего процесса, который может использовать для извлечения дескриптора файла из таблицы глобальных дескрипторов."
--shelf-hotseat,"Новый модульный дизайн для полки с приложениями, разделенными на пользовательский интерфейс горячего, и меньшую полку в режиме раскладушки."
--shill-stub,"Переопределяет поведение Shill Scub. По умолчанию Ethernet, Wi -Fi и VPN включены, а переходы происходят мгновенно. Несколько вариантов могут быть разделены запятыми (без пробелов). Примечание. Все параметры находятся в формате 'foo = x'. Значения чувствительны к случаю и основаны на именах Shill в Service_Constants.h. См. Fakeshillmanagerclient :: setinitialnetworkstate для реализации. Примеры: 'clear = 1' - очищает все конфигурации по умолчанию 'wifi = on' - изначально подключена сеть Wi -Fi ('1' также работает) 'wifi = off' - все сети Wi -Fi изначально отключены ('0' также работает) 'wifi = disabled' - wifi изначально отключен 'wifi = none' - wifi недоступен «wifi = портал» - соединение WiFi будет в состоянии портала «Cellular = 1» - изначально подключено к Cellular = lte ' - клеточный Первоначально подключенная, технология LTE 'Interactive = 3' - интерактивный режим, запросы подключения/сканирования/и т. Д. Занимают 3 секунды"
--short-merge-session-timeout-for-test[6],Используйте короткий (1 секунд) тайм -аут для тестирования дроссельной заслонки с сеансом слияния.
--short-reporting-delay,"Устанавливает отчетную задержку API на секунду, чтобы разрешить гораздо более быстрые отчеты."
--show-aggregated-damage,"Добавляет Debugborderdrawquad в верхнюю часть корневого renderpass, показывающего прямоугольный ряд после агрегации поверхности. Обратите внимание, что при включении эта функция устанавливает весь выходной прямоугольник как поврежденный после добавления квадрата, чтобы выделить реальное урон, что может скрыть проблемы с прямоугольными."
--show-autofill-signatures,Аннотирует формы и поля с автопроизводными подписями.
--show-autofill-type-predictions,Аннонирует формы с предсказаниями типа поля автозаполнения.
--show-component-extension-options,Делает расширения компонентов в Chrome: // Настройки/расширения.
--show-composited-layer-borders,"Образует границу вокруг слоев композитора, чтобы помочь отладки и изучению композитирования слоев."
--show-dc-layer-debug-borders,Показать отладочные границы для слоев постоянного тока - красный для наложений и синий цвет для подкладок. Границы отладки компенсируются от прямого слоя на несколько пикселей для ясности.
--show-fps-counter,"Нарисует дискретизацию Heads-Up, показывающий кадры в секунду, а также использование памяти графического процессора. Если вы также используете-enable-logging = stderr --vmodule = ""head*= 1"", то FPS также будет выведена в журнал консоли."
--show-icons[1],Смотрите кхийдероны.
--show-layer-animation-bounds,"Образует границу, которая представляет собой ограничивающую коробку для анимации слоя."
--show-layout-shift-regions,"Видимо отобразите границу вокруг прямого смены макета на веб -странице, чтобы помочь отладки и изучению сменов макета."
--show-login-dev-overlay,"Если True, наложение инструмента разработчика будет показано для экрана входа в систему/блокировки. Это облегчает тестирование логики макета."
--show-mac-overlay-borders[7],"Покажите границы вокруг каленей, соответствующих наложениям и частичным повреждениям."
--show-oobe-dev-overlay,Позволяет отладчику пользовательского интерфейса OOBE для облегчения навигации между экранами во время ручного тестирования. Ограничен только Chromeos-on-linux и тестовыми изображениями.
--show-oobe-quick-start-debugger,"Включает отладчик QuickStart в OOBE, который имитирует телефон Android."
--show-overdraw-feedback,"Визуализируйте переизбыток по цветовым элементам на основе, если у них есть другие элементы, нарисованные внизу. Это хорошо для того, чтобы показать, где пользовательский интерфейс может выполнять больше работы по рендеринге, чем необходимо. Цвета намекают на количество перегрузки на вашем экране для каждого пикселя, следующим образом: Истинный цвет: без перегрузки. Синий: перегружен один раз. Зеленый: перегружен дважды. Розовый: перегружен три раза. Красный: перегружен четыре или более раз."
--show-paint-rects,"Видимо отображайте границу вокруг рисовых прямы на веб -странице, чтобы отладить и изучать поведение живописи."
--show-property-changed-rects,"Покажите прямы в HUD вокруг слоев, чьи свойства изменились."
--show-screenspace-rects,"Покажите прямы в HUD вокруг экранируемого пространства, преобразованных границ каждого слоя."
--show-surface-damage-rects,"Покажите прямы в HUD вокруг урона, когда он записывается в каждую поверхность рендеринга."
--show-taps,"Рисует круг в каждой точке сенсорной точки, похожий на опцию разработчика ОС Android «Показать краны»."
--signed-out-ntp-modules,без описания
--silent-debugger-extension-api,"Не показывает инфобар, когда расширение прикрепляется к странице с использованием страницы Chrome.debugger. Требуется прикрепить к фоновым страницам расширения."
--silent-launch,"Приводит к запуску Chrome без открытия Windows по умолчанию. Полезно, если кто -то хочет использовать Chrome в качестве сервера пепла."
--simulate-browsing-data-lifetime,"Устанавливает политику BrowsingDatalifetime на очень короткое значение (короче, чем обычно,) для целей тестирования."
--simulate-critical-update,Моделирует доступное критическое обновление.
--simulate-elevated-recovery,"Совместно, что высота необходима для восстановления канала обновления."
--simulate-idle-timeout,"Устанавливает политику Idletimeout в очень короткое значение (короче, чем обычно) для целей тестирования."
--simulate-outdated,"Современно, что текущая версия устарела."
--simulate-outdated-no-au,"Совместно, что текущая версия устарела, а Auto-Update выключен."
--simulate-update-error-code,Совместно обновлять ошибку GoogleUpdateErrorCode с помощью проверки обновления. Должен быть поставлен с | ksimulateupdatehresult | выключатель.
--simulate-update-hresult,"Современно определенный код ошибки HRESULT, возвращаемый проверкой обновлений. Если значение коммутатора не указано (как HEX), то оно по умолчанию на e_fail."
--simulate-upgrade,Совместно доступно обновление.
--single-process,"Запускает рендеринг и плагины в том же процессе, что и браузер"
--site-per-process,"Обеспечивает соблюдение политики безопасности с одним участком за процесс: * Каждый процесс рендеринга для всей своей жизни посвящен рендерингу страниц только для одного сайта. * Таким образом, страницы с разных сайтов никогда не находятся в одном процессе. * Права доступа к процессу рендеринга ограничена на основе его сайта. * Все перекрестные навигационные навигации. * <iframe> s выпускаются за пределами процесса всякий раз, когда src = перекрестный сайт. Более подробная информация здесь:-https://www.chromium.org/developers/design-documents/site-isolation-https://www.chromium.org/developers/design-documents/process-dodels-Комментарий класса в сайте .h, перечисляя поддерживаемые модели процессов. Важно: это не следует путать с-процессом на участок (что касается консолидации процесса, а не изоляции). Вы, вероятно, хотите это."
--skia-font-cache-limit-mb,"Определяет максимальное количество байтов, которые следует использовать в кэше Skia Font. Если кеш должен выделить больше, Skia будет очищать предыдущие записи."
--skia-graphite-backend,"Укажите, какой бэкэнд использовать для Skia Graphite - «Dawn» (по умолчанию) или «металл» (разрешен только для неофициальных сборщиков разработчика)."
--skia-resource-cache-limit-mb,"Определяет максимальное количество байтов, которые должны использоваться в кэше ресурсов Skia. Предыдущие записи очищаются из кэша, когда использование памяти превышает этот предел."
--skip-force-online-signin-for-testing,Отключает онлайн-исполнительное обеспечение в тестах вкуса.
--skip-multidevice-screen,Пропустить экраны настройки Multidevice во время вкусовых тестов.
--skip-reorder-nudge-show-threshold-duration,"Используется для пропуска пороговой продолжительности, которую должно показать переупорядочение до того, как будет показан толчок, как показано, как показано."
--slow-down-compositing-scale-factor,"Повторно выставьте все несколько раз, чтобы имитировать гораздо более медленную машину. Укажите фактор замедления, чтобы привести к завершению рендерера, например, в течение всего размера, например, с комплектацией сочетания вниз = 2."
--slow-down-raster-scale-factor,"Переурашивает все несколько раз, чтобы имитировать гораздо более медленную машину. Дайте масштабной коэффициент, чтобы запустить растрового, чтобы заполнить столько раз, как и, то, что вкладывает в роспись, Factor = 25."
--sms-test-messages,Отправляет тестовые сообщения при первом вызове в запрос uppadate (только заглушка).
--source-shortcut[1],"При первой службе с существующим процессом используется для прохождения пути ярлыка, который запустил новый хромированный процесс. Это используется для записи метрик запуска."
--speech_recognition,без описания
--ssl-key-log-file,Приводит к регистрации материала ключа SSL в указанный файл для целей отладки. См. Https://developer.mozilla.org/en-us/docs/mozilla/projects/nss/key_log_format для формата.
--ssl-version-max,"Указывает максимальную версию SSL/TLS (""TLS1.2"" или ""TLS1.3"")."
--ssl-version-min,"Указывает минимальную версию SSL/TLS (""TLS1.2"" или ""TLS1.3"")."
--stabilize-time-dependent-view-for-tests,"Если это правда, то виды, зависящие от времени (например, время времени) показывают с предопределенным фиксированным временем."
--stable-release-mode,"Это заставляет нас отключить некоторые функции выполнения веб-платформы, так что мы тестируем content_shell так, как если бы это был стабильный выпуск. За ним следует только тогда, когда установлен Krunwebtest. Для уровня функций см. Third_party/Blink/Renderer/Platform/RuntimeEnabliveFeatures.md"
--staging,без описания
--start-fullscreen,"Указывает, должен ли браузер запуститься в полноэкранном режиме, например, если пользователь нажал F11 сразу после запуска."
